operator,deviceSN,deviceSKU,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:22:49.624298,42.15,21.937,3.658,success,noInfo,0.761
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:28:09.016220,43.218,22.357,3.644,success,noInfo,0.755
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:31:31.654339,29.841,22.357,3.677,failed,noInfo,0.776
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:32:24.830617,40.451,21.716,3.69,success,noInfo,0.778
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:36:04.702020,37.869,22.332,3.684,success,noInfo,0.774
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:39:28.359121,42.928,22.265,3.694,success,noInfo,0.771
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:43:23.485579,31.44,21.672,3.673,success,noInfo,0.781
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:45:22.477913,36.481,21.574,3.687,success,noInfo,0.78
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:48:56.582773,36.649,22.549,3.68,success,noInfo,0.771
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:56:35.731071,35.751,21.611,3.644,success,noInfo,0.767
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:00:27.660166,37.785,21.571,3.677,success,noInfo,0.781
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:03:34.227487,36.242,21.571,3.693,failed,noInfo,0.779
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:04:33.891898,46.139,21.467,3.702,success,noInfo,0.782
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:09:23.691618,37.932,21.49,3.7,success,noInfo,0.786
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:12:50.723246,42.77,21.465,3.603,success,noInfo,0.746
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:15:47.402885,44.182,21.907,3.605,success,noInfo,0.747
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:18:44.346816,35.018,21.907,3.635,failed,noInfo,0.756
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:19:52.483507,47.274,22.652,3.632,success,noInfo,0.74
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:23:09.946531,36.786,21.627,3.585,success,noInfo,0.744
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:26:15.683710,36.328,21.802,3.674,success,noInfo,0.768
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:50:46.206835,29.938,,3.684,failed,noInfo,0.819
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:51:38.296655,46.813,22.153,3.679,success,noInfo,0.773
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:54:42.680063,37.605,21.993,3.671,success,noInfo,0.759
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 15:58:01.590744,15.697,21.993,3.692,failed,noInfo,0.768
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 16:00:25.375709,15.729,,3.685,failed,noInfo,0.768
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 16:04:02.534392,15.738,,3.682,failed,noInfo,0.767
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 16:35:00.924766,37.508,21.661,3.668,success,noInfo,0.769
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 16:37:55.211976,35.403,21.661,3.662,failed,noInfo,0.759
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 16:38:59.444092,37.255,21.798,3.667,success,noInfo,0.771
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 16:40:57.091707,37.609,21.902,3.677,success,noInfo,0.764
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 16:44:05.811465,38.121,22.302,3.634,success,noInfo,0.745
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 16:53:15.434749,36.741,21.67,3.63,success,noInfo,0.74
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 17:10:18.426816,37.653,21.88,3.624,success,noInfo,0.748
